asset_id,employee_id,asset_type,asset_name,serial_number,assigned_date,status
AST0051,EMP039,Laptop,Dell Latitude 5450,BO-LAP-0051,2026-04-13,Active
AST0052,EMP040,Laptop,Dell Latitude 5450,BO-LAP-0052,2022-05-16,Active
AST0053,EMP040,Monitor,Dell 24-inch Monitor,BO-MON-0053,2022-05-16,Active
AST0054,EMP041,Laptop,Dell Latitude 5450,BO-LAP-0054,2023-06-19,Active
AST0055,EMP042,Laptop,Dell Latitude 5450,BO-LAP-0055,2024-07-22,Active
AST0056,EMP042,Headset,Jabra Evolve2 40,BO-HST-0056,2024-07-22,Active
AST0057,EMP043,Laptop,Dell Latitude 5450,BO-LAP-0057,2025-08-25,Active
AST0058,EMP044,Laptop,Dell Latitude 5450,BO-LAP-0058,2026-09-28,Active
AST0059,EMP045,Laptop,Dell Latitude 5450,BO-LAP-0059,2022-10-04,Active
AST0060,EMP045,Monitor,Dell 24-inch Monitor,BO-MON-0060,2022-10-04,Active
AST0061,EMP046,Laptop,Dell Latitude 5450,BO-LAP-0061,2023-11-07,Active
AST0062,EMP047,Laptop,Dell Latitude 5450,BO-LAP-0062,2024-12-10,Active
AST0063,EMP048,Laptop,Dell Latitude 5450,BO-LAP-0063,2025-01-13,Active
AST0064,EMP049,Laptop,Dell Latitude 5450,BO-LAP-0064,2026-02-16,Active
AST0065,EMP049,Headset,Jabra Evolve2 40,BO-HST-0065,2026-02-16,Active
AST0066,EMP050,Laptop,Dell Latitude 5450,BO-LAP-0066,2022-03-19,Active
AST0067,EMP050,Monitor,Dell 24-inch Monitor,BO-MON-0067,2022-03-19,Active
AST0068,EMP051,Laptop,Dell Latitude 5450,BO-LAP-0068,2023-04-22,Active
AST0069,EMP052,Laptop,Dell Latitude 5450,BO-LAP-0069,2024-05-25,Active
AST0070,EMP053,Laptop,Dell Latitude 5450,BO-LAP-0070,2025-06-28,Active
AST0071,EMP054,Laptop,Dell Latitude 5450,BO-LAP-0071,2026-07-04,Active
AST0072,EMP055,Laptop,Dell Latitude 5450,BO-LAP-0072,2022-08-07,Active
AST0073,EMP055,Monitor,Dell 24-inch Monitor,BO-MON-0073,2022-08-07,Active
AST0074,EMP056,Laptop,Dell Latitude 5450,BO-LAP-0074,2023-09-10,Active
AST0075,EMP056,Headset,Jabra Evolve2 40,BO-HST-0075,2023-09-10,Active
AST0076,EMP057,Laptop,Dell Latitude 5450,BO-LAP-0076,2024-10-13,Active
AST0077,EMP058,Laptop,Dell Latitude 5450,BO-LAP-0077,2025-11-16,Active
AST0078,EMP059,Laptop,Dell Latitude 5450,BO-LAP-0078,2026-12-19,Active
AST0079,EMP060,Laptop,Dell Latitude 5450,BO-LAP-0079,2022-01-22,Active
AST0080,EMP060,Monitor,Dell 24-inch Monitor,BO-MON-0080,2022-01-22,Active
AST0081,EMP061,Laptop,Dell Latitude 5450,BO-LAP-0081,2023-02-25,Active
AST0082,EMP062,Laptop,Dell Latitude 5450,BO-LAP-0082,2024-03-28,Active
AST0083,EMP063,Laptop,Dell Latitude 5450,BO-LAP-0083,2025-04-04,Active
AST0084,EMP063,Headset,Jabra Evolve2 40,BO-HST-0084,2025-04-04,Active
AST0085,EMP064,Laptop,Dell Latitude 5450,BO-LAP-0085,2026-05-07,Active
AST0086,EMP065,Laptop,Dell Latitude 5450,BO-LAP-0086,2022-06-10,Active
AST0087,EMP065,Monitor,Dell 24-inch Monitor,BO-MON-0087,2022-06-10,Active
AST0088,EMP066,Laptop,Dell Latitude 5450,BO-LAP-0088,2023-07-13,Active
AST0089,EMP067,Laptop,Dell Latitude 5450,BO-LAP-0089,2024-08-16,Active
AST0090,EMP068,Laptop,Dell Latitude 5450,BO-LAP-0090,2025-09-19,Active
AST0091,EMP069,Laptop,Dell Latitude 5450,BO-LAP-0091,2026-10-22,Active
AST0092,EMP070,Laptop,Dell Latitude 5450,BO-LAP-0092,2022-11-25,Active
AST0093,EMP070,Monitor,Dell 24-inch Monitor,BO-MON-0093,2022-11-25,Active
AST0094,EMP070,Headset,Jabra Evolve2 40,BO-HST-0094,2022-11-25,Active
AST0095,EMP071,Laptop,Dell Latitude 5450,BO-LAP-0095,2023-12-28,Active
AST0096,EMP072,Laptop,Dell Latitude 5450,BO-LAP-0096,2024-01-04,Active
AST0097,EMP073,Laptop,Dell Latitude 5450,BO-LAP-0097,2025-02-07,Active
AST0098,EMP074,Laptop,Dell Latitude 5450,BO-LAP-0098,2026-03-10,Active
AST0099,EMP075,Laptop,Dell Latitude 5450,BO-LAP-0099,2022-04-13,Active
AST0100,EMP075,Monitor,Dell 24-inch Monitor,BO-MON-0100,2022-04-13,Active
AST0101,EMP076,Laptop,Dell Latitude 5450,BO-LAP-0101,2023-05-16,Active
AST0102,EMP077,Laptop,Dell Latitude 5450,BO-LAP-0102,2024-06-19,Active
AST0103,EMP077,Headset,Jabra Evolve2 40,BO-HST-0103,2024-06-19,Active
AST0104,EMP078,Laptop,Dell Latitude 5450,BO-LAP-0104,2025-07-22,Active
AST0105,EMP079,Laptop,Dell Latitude 5450,BO-LAP-0105,2026-08-25,Active
AST0106,EMP080,Laptop,Dell Latitude 5450,BO-LAP-0106,2022-09-28,Active
AST0107,EMP080,Monitor,Dell 24-inch Monitor,BO-MON-0107,2022-09-28,Active
AST0108,EMP081,Laptop,Dell Latitude 5450,BO-LAP-0108,2023-10-04,Active
AST0109,EMP082,Laptop,Dell Latitude 5450,BO-LAP-0109,2024-11-07,Active
AST0110,EMP083,Laptop,Dell Latitude 5450,BO-LAP-0110,2025-12-10,Active
AST0111,EMP084,Laptop,Dell Latitude 5450,BO-LAP-0111,2026-01-13,Active
AST0112,EMP084,Headset,Jabra Evolve2 40,BO-HST-0112,2026-01-13,Active
AST0113,EMP085,Laptop,Dell Latitude 5450,BO-LAP-0113,2022-02-16,Active
AST0114,EMP085,Monitor,Dell 24-inch Monitor,BO-MON-0114,2022-02-16,Active
AST0115,EMP086,Laptop,Dell Latitude 5450,BO-LAP-0115,2023-03-19,Active
AST0116,EMP087,Laptop,Dell Latitude 5450,BO-LAP-0116,2024-04-22,Active
AST0117,EMP088,Laptop,Dell Latitude 5450,BO-LAP-0117,2025-05-25,Active
AST0118,EMP089,Laptop,Dell Latitude 5450,BO-LAP-0118,2026-06-28,Active
AST0119,EMP090,Laptop,Dell Latitude 5450,BO-LAP-0119,2022-07-04,Active
AST0120,EMP090,Monitor,Dell 24-inch Monitor,BO-MON-0120,2022-07-04,Active
AST0121,EMP091,Laptop,Dell Latitude 5450,BO-LAP-0121,2023-08-07,Active
AST0122,EMP091,Headset,Jabra Evolve2 40,BO-HST-0122,2023-08-07,Active
AST0123,EMP092,Laptop,Dell Latitude 5450,BO-LAP-0123,2024-09-10,Active
AST0124,EMP093,Laptop,Dell Latitude 5450,BO-LAP-0124,2025-10-13,Active
AST0125,EMP094,Laptop,Dell Latitude 5450,BO-LAP-0125,2026-11-16,Active
AST0126,EMP095,Laptop,Dell Latitude 5450,BO-LAP-0126,2022-12-19,Active
AST0127,EMP095,Monitor,Dell 24-inch Monitor,BO-MON-0127,2022-12-19,Active
AST0128,EMP096,Laptop,Dell Latitude 5450,BO-LAP-0128,2023-01-22,Active
AST0129,EMP097,Laptop,Dell Latitude 5450,BO-LAP-0129,2024-02-25,Active
AST0130,EMP098,Laptop,Dell Latitude 5450,BO-LAP-0130,2025-03-28,Active
AST0131,EMP098,Headset,Jabra Evolve2 40,BO-HST-0131,2025-03-28,Active
AST0132,EMP099,Laptop,Dell Latitude 5450,BO-LAP-0132,2026-04-04,Active
AST9001,EMP020,Laptop,Dell Latitude 5450,BO-LAP-9001,2024-02-10,Under Repair
AST9002,EMP030,Monitor,Dell 24-inch Monitor,BO-MON-9002,2025-01-15,Returned
